ratio 1,ratio 2,key,in_g_vs_s,p_value_g_vs_s,statistic_g_vs_s,in_h_vs_s,p_value_h_vs_s,statistic_h_vs_s,in_h_vs_g,p_value_h_vs_g,statistic_h_vs_g,presence_count
na_mn,si_v,na_mn||si_v,True,8.51343639288075e-10,0.0392699928709952,False,,,True,5.569958819556306e-37,0.0351329565195945,2
v_cu,si_nd,v_cu||si_nd,True,8.780743483512863e-10,0.0660208104315041,False,,,True,1.1356832397499067e-25,0.0316740106121216,2
y_mn,cr_na,y_mn||cr_na,True,9.40236482637653e-10,0.0481983741926177,False,,,True,3.5838540971143555e-39,0.0443698011653534,2
si_ni,si_v,si_ni||si_v,True,9.5059561792349e-10,0.031449802246463,True,6.881462669017711e-06,0.0172372310309993,False,,,2
nd_y,na_zn,nd_y||na_zn,True,9.556521896303875e-10,0.0653109635657877,False,,,True,1.952871607547973e-38,0.0534340559503113,2
nd_na,cr_si,nd_na||cr_si,True,9.623913707613802e-10,0.0712332479443242,False,,,True,5.92093599733561e-40,0.0612905959438964,2
na_mn,cr_y,na_mn||cr_y,True,7.886639053807883e-10,0.046373700684947,False,,,True,1.5910538196610479e-40,0.0450438283909847,2
sc_y,si_nd,sc_y||si_nd,True,2.459779384769035e-09,0.0610815061180445,False,,,True,2.1564398517046157e-30,0.038314581508953,2
k_ti,si_nd,k_ti||si_nd,True,2.467463396186413e-09,0.0613076803638851,False,,,True,3.494297186941236e-25,0.0304832640251361,2
ba_cu,nd_y,ba_cu||nd_y,True,2.4754425548019512e-09,0.0689731329796106,False,,,True,7.02810745911496e-29,0.0415333297237472,2
v_ca,cr_y,v_ca||cr_y,True,2.5974963639178203e-09,0.0398825969925851,True,0.0001035783820496,0.0178545719590909,False,,,2
y_ca,si_nd,y_ca||si_nd,True,2.6561994116559863e-09,0.0617822288482962,False,,,True,4.980839365196033e-31,0.0395048956693249,2
si_na,si_nd,si_na||si_nd,True,2.673636548725112e-09,0.0611893833570376,False,,,True,1.6186703732299913e-29,0.0367174240595318,2
si_nd,sc_si,si_nd||sc_si,True,2.7368881148283237e-09,0.0630923192469238,False,,,True,2.0167106748533627e-25,0.0322804538962218,2
ca_cu,si_nd,ca_cu||si_nd,True,2.757684256667313e-09,0.0619756873169527,False,,,True,1.8873976180610654e-26,0.034200185379602,2
v_ti,sc_nd,v_ti||sc_nd,True,2.771038863562213e-09,0.0529228766853813,True,0.0003095031723826,0.0163291673714184,False,,,2
nd_y,na_ba,nd_y||na_ba,True,1.3231316094529674e-09,0.0681642643288541,False,,,True,3.879876450045884e-32,0.0458116206884958,2
si_mn,na_v,si_mn||na_v,True,3.127987512438009e-09,0.0356864399032906,False,,,True,9.4871756753559e-27,0.0217997662413404,2
cr_y,nd_ni,cr_y||nd_ni,True,3.190953600675933e-09,0.055077543979162,False,,,True,2.0190374314585767e-31,0.0379807557706044,2
ni_mn,si_v,ni_mn||si_v,True,3.197487463698664e-09,0.0273785192121268,True,2.483515572826181e-05,0.0143253926623397,False,,,2
cr_y,cr_na,cr_y||cr_na,True,3.218913284585028e-09,0.0414715126775997,False,,,True,2.2859460190444963e-42,0.0457445524574182,2
nd_ba,si_nd,nd_ba||si_nd,True,3.286831865211645e-09,0.0718598007301707,False,,,True,2.320170224432358e-31,0.047221904123388,2
nd_ba,sc_nd,nd_ba||sc_nd,True,3.399922028820564e-09,0.0638428062559307,False,,,True,7.852720672187163e-29,0.0377526607255832,2
v_y,nd_na,v_y||nd_na,True,3.477069978365614e-09,0.0665850284440644,False,,,True,9.333279611245443e-37,0.0558049157956412,2
co_ca,sc_nd,co_ca||sc_nd,True,3.692404697383501e-09,0.0513968943697753,True,0.0001968313802497,0.0174285887184488,False,,,2
cr_ni,si_v,cr_ni||si_v,True,3.808587771594194e-09,0.02650882052819,True,1.2266654662187088e-05,0.0149774362532145,False,,,2
ni_y,si_v,ni_y||si_v,True,3.850192807299565e-09,0.0356360494441422,True,0.0003448631015,0.0129524383013716,False,,,2
