ratio 1,ratio 2,key,in_g_vs_s,p_value_g_vs_s,statistic_g_vs_s,in_h_vs_s,p_value_h_vs_s,statistic_h_vs_s,in_h_vs_g,p_value_h_vs_g,statistic_h_vs_g,presence_count
sc_y,sc_v,sc_y||sc_v,False,,,True,0.0001745038777812,0.0182646845405934,False,,,1
si_cu,cr_k,si_cu||cr_k,False,,,True,0.0001746512109438,0.0139649668149873,False,,,1
sc_zn,sc_na,sc_zn||sc_na,False,,,True,0.0001757569976995,0.0176733082326134,False,,,1
ni_cu,na_ca,ni_cu||na_ca,False,,,True,0.000178144031445,0.0173122312559468,True,6.337463023687143e-28,0.0274036234696035,2
k_ni,si_na,k_ni||si_na,False,,,True,0.0001808231086047,0.0159817278465908,False,,,1
si_cu,co_v,si_cu||co_v,False,,,True,0.0001816832651516,0.0130051090842778,False,,,1
ni_cu,v_ti,ni_cu||v_ti,False,,,True,0.000181859475489,0.0122685444879592,False,,,1
mn_ca,na_ca,mn_ca||na_ca,False,,,True,0.0001820010915712,0.0170744675670533,True,6.296150011287152e-29,0.027715050399892,2
co_ca,cr_ni,co_ca||cr_ni,False,,,True,0.0001826725215346,0.0114779997735041,False,,,1
co_si,co_k,co_si||co_k,False,,,True,0.0001830529250746,0.0147152356099716,False,,,1
co_ca,k_mn,co_ca||k_mn,False,,,True,0.0001841288246828,0.01435309510875,False,,,1
sc_ti,co_ti,sc_ti||co_ti,False,,,True,0.0001857483614087,0.0086109655989488,False,,,1
sc_k,co_sc,sc_k||co_sc,False,,,True,0.0001865861739505,0.012419324021184,False,,,1
na_ca,v_zn,na_ca||v_zn,False,,,True,0.0001868252843324,0.0194841388312378,False,,,1
si_ni,si_na,si_ni||si_na,False,,,True,0.0001871022838954,0.0141849109267051,False,,,1
